,name,Code,lat,lon,ligne,ville
164,Marceau - Jardin des Vallons,SEM:GENMARCEAU,45.18245,5.72217,C3,Grenoble
165,Foch - Ferrié,SEM:GENFOCHFERI,45.1808,5.72256,C3,Grenoble
166,Capuche,SEM:GENCAPUCHE,45.17614,5.72539,C3,Grenoble
167,Eugène Sue,SEM:GENEUGENESU,45.17284,5.72476,C3,Grenoble
168,Clos d'Or,SEM:GENCLOSDOR,45.16955,5.72321,C3,Grenoble
169,Vigny,SEM:GENVIGNY,45.16744,5.72338,C3,Grenoble
170,Village Olympique,SEM:GENVILLOLYM,45.16411,5.72404,C3,Grenoble
171,Christophe Turc,SEM:GENCHRISTUR,45.16137,5.72414,C3,Grenoble
172,Edmond Esmonin,SEM:GENEDMOESMO,45.15937,5.72662,C3,Grenoble
173,Grand'place,SEM:GENGRDPLACE,45.15893,5.73179,C3,Grenoble
174,Polesud - Alpexpo,SEM:GENPOLESUD,45.15715,5.73384,C3,Grenoble
175,Alpexpo,SEM:GENALPEXPO,45.15449,5.73379,C3,Eybens
176,François Quesnay,SEM:GENFRQUESNA,45.1479,5.73517,C3,Échirolles
177,Hôpital Sud,SEM:GENHOPITSUD,45.1469,5.73274,C3,Échirolles
178,Ecoles Hospitalières,SEM:GENECOLHOSP,45.14638,5.72973,C3,Échirolles
179,Le Château,SEM:GENCHATEAU,45.14732,5.72671,C3,Échirolles
180,Guy Mocquet,SEM:GENGUYMOCQU,45.14548,5.72585,C3,Échirolles
181,Paul Langevin,SEM:GENLANGEVIN,45.14346,5.72313,C3,Échirolles
182,Le Village,SEM:GENVILLAGE,45.14133,5.72057,C3,Échirolles
183,Centre du graphisme,SEM:GENGRAPH,45.14185,5.71816,C3,Échirolles
184,Le Verderet,SEM:GENVERDERET,45.14694,5.75428,C4,Eybens
185,Le Bourg,SEM:GENLEBOURG,45.14781,5.75116,C4,Eybens
186,Les Javaux,SEM:GENJAVAUX,45.15034,5.7499,C4,Eybens
187,Odyssée,SEM:GENODYSSEE,45.15273,5.74876,C4,Eybens
188,Val d'Eybens,SEM:GENVALEYBEN,45.15905,5.74558,C4,Eybens
189,Général de Gaulle,SEM:GENDEGAULLE,45.16163,5.74447,C4,Eybens
190,Maisons Neuves,SEM:GENMAISNEUV,45.16491,5.74252,C4,Eybens
191,Jean Racine,SEM:GENJRACINE,45.16682,5.74175,C4,Grenoble
192,Teisseire,SEM:GENTEISSEIR,45.17081,5.74016,C4,Grenoble
193,Paul Claudel,SEM:GENPCLAUDEL,45.17336,5.73851,C4,Grenoble
194,Ponsard,SEM:GENPONSARD,45.17597,5.7372,C4,Grenoble
195,Bajatière,SEM:GENBAJATIER,45.17813,5.73614,C4,Grenoble
196,Mallifaud,SEM:GENMALLIFAU,45.18033,5.73507,C4,Grenoble
197,Driant,SEM:GENDRIANT,45.18228,5.7341,C4,Grenoble
198,Chavant,SEM:GENCHAVANT,45.18466,5.73177,C4,Grenoble
